random, 242, 242, 1511329600, 0
random, 343, 143, 1920204300, 0
random, 226, 52, 1490790500, 0
random, 180, 105, 2002881900, 0
random, 1199, 294, 4149079100, 0
random, 474, 127, 1724227400, 0
random, 318, 120, 2179746300, 0
random, 285, 493, 1486461100, 0
random, 189, 418, 1183277600, 0
random, 37, 5, 192514100, 0
random, 65, 15, 679897500, 0
random, 36, 8, 183824800, 0
random, 114, 9, 766448200, 0
random, 1, 0, 0, 0
random, 50, 10, 2067354300, 0
random, 445, 584, 3792769700, 0
random, 443, 168, 1957805500, 0
random, 3, 0, 1339243300, 0
random, 202, 15, 1769135700, 0
random, 24, 3, 1458172600, 0
random, 267, 79, 1732023200, 0
random, 306, 153, 1719890600, 0
random, 187, 78, 1150207400, 0
random, 242, 392, 1335285000, 0
random, 131, 100, 847879000, 0
random, 766, 316, 2313919700, 0
random, 304, 267, 1331157800, 0
random, 4, 0, 25078700, 0
random, 1, 0, 0, 0
random, 303, 134, 2117041800, 0
random, 335, 126, 1967209600, 0
random, 278, 244, 1667043900, 0
random, 331, 362, 1532290000, 0
random, 498, 287, 1777214500, 0
random, 417, 286, 2624634100, 0
random, 658, 843, 3592780300, 0
random, 305, 225, 1586003200, 0
random, 186, 59, 2158122300, 0
random, 333, 245, 1392941800, 0
random, 136, 4, 2502818700, 0
random, 258, 560, 2371638100, 0
random, 350, 259, 1458209300, 0
random, 212, 524, 1307117900, 0
random, 242, 449, 1539948900, 0
random, 456, 453, 2272997900, 0
random, 21, 0, 81789200, 0
random, 15, 0, 118496400, 0
random, 32, 5, 1082270900, 0
random, 274, 154, 1544313200, 0
random, 337, 108, 2015606200, 0
random, 301, 200, 1355811600, 0
random, 44, 68, 159842900, 0
random, 32, 25, 196583000, 0
random, 247, 379, 1274917900, 0
random, 171, 214, 1536436400, 0
random, 2, 0, 65303700, 0
random, 397, 422, 2228935500, 0
random, 146, 532, 1150465300, 0
random, 8, 0, 278925300, 0
random, 220, 427, 1449835800, 0
